City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
Neuquén,AR,-38.9516,-68.0591,80.49,21,0,8.05
Muriwai Beach,NZ,-36.8167,174.45,64.96,67,61,8.05
Leova,MD,46.4786,28.2553,59.79,81,96,12.8
Kushiro,JP,42.975,144.3747,37.22,74,3,5.97
Carutapera,BR,-1.195,-46.02,80.47,73,78,8.93
Thoen,TH,17.6129,99.2161,72.0,97,55,1.79
Teruel,ES,40.6667,-0.6667,60.22,41,100,10.11
Chimoré,BO,-16.9833,-65.1333,86.77,52,95,1.92
Matiari,PK,25.5961,68.4467,78.15,69,0,11.25
Madimba,TZ,-10.4,40.3333,72.79,88,12,6.15
Tangzhai,CN,34.4328,116.5911,59.07,57,100,10.25
Lavrentiya,RU,65.5833,-171.0,26.4,79,99,13.62
Srednekolymsk,RU,67.45,153.6833,10.15,95,100,10.33
Umluj,SA,25.0213,37.2685,78.64,63,0,6.58
Muzhi,RU,65.3667,64.6667,21.78,88,97,4.59
Half Moon Bay,US,37.4636,-122.4286,74.59,63,20,14.97
Sumenep,ID,-7.0167,113.8667,79.77,83,100,2.66
Biak,ID,-0.9131,122.8766,77.52,82,99,2.19
Tautira,PF,-17.7333,-149.15,78.26,85,100,25.46
Bathsheba,BB,13.2167,-59.5167,83.01,83,75,21.85
Alta Floresta,BR,-9.8756,-56.0861,77.25,80,95,6.11
Bhisho,ZA,-32.8472,27.4422,55.0,83,100,6.29
La Santisima Trinidad,BO,-14.8333,-64.9,91.38,62,75,6.91
Larnaca,CY,34.9167,33.6292,70.95,56,0,9.22
Cururupu,BR,-1.8283,-44.8683,80.31,72,99,5.14
Honningsvåg,NO,70.9821,25.9704,33.55,75,0,19.57
Hakkâri Province,TR,37.5833,44.1667,35.38,87,20,3.44
Lakes Entrance,AU,-37.8811,147.981,58.15,98,100,3.91
San Ramon,US,37.7799,-121.978,73.29,55,0,6.91
Tshane,BW,-24.0196,21.8684,77.32,17,51,9.84
Diffa,NE,13.3154,12.6113,81.23,26,12,8.68
Zonguldak,TR,41.25,31.8333,51.93,62,38,4.94
Kinkala,CG,-4.3614,14.7644,72.72,87,100,3.83
Usinsk,RU,65.9939,57.5281,20.3,93,84,8.72
Tilichiki,RU,60.4667,166.1,24.49,81,73,8.14
Burnie,AU,-41.0667,145.9167,58.95,75,100,8.41
Kem',RU,64.9555,34.5793,30.47,81,89,7.11
De-Kastri,RU,51.4667,140.7833,34.07,66,96,2.35
La Ronge,CA,55.1001,-105.2842,35.85,51,75,3.44
Kilifi,KE,-3.6305,39.8499,75.38,91,83,7.92
Marrakesh,MA,31.6315,-8.0083,80.67,28,75,4.61
Mukhen,RU,48.1,136.1,33.71,64,7,6.06
Olhão,PT,37.0286,-7.8411,68.09,90,20,3.44
Langxiang,CN,46.95,128.8833,35.19,75,100,3.13
College,US,64.8569,-147.8028,23.58,83,20,12.66
Stonewall,CA,50.1344,-97.3268,38.71,70,100,12.77
Fethiye,TR,36.6217,29.1164,55.27,52,0,3.91
Ancud,CL,-41.8697,-73.8203,53.37,85,79,17.4
Malanje,AO,-9.5402,16.341,65.98,91,83,1.83
Airai,TL,-8.9266,125.4092,61.32,92,100,1.05
Plettenberg Bay,ZA,-34.0527,23.3716,59.79,77,99,5.53
Solenzo,BF,12.1833,-4.0833,84.11,26,19,3.8
Beaver Dam,US,43.4578,-88.8373,47.82,83,100,6.91
Saint-Louis,SN,16.3333,-15.0,87.44,39,100,11.81
Paka,MY,4.6374,103.4368,76.93,94,100,5.75
Suna,RU,57.8338,50.0588,28.47,93,25,6.51
Powell,US,40.1578,-83.0752,73.9,53,0,13.8
Nantucket,US,41.2835,-70.0995,69.91,92,75,10.36
Finschhafen,PG,-6.6024,147.8681,81.18,78,91,4.56
Poya,NC,-21.35,165.15,78.57,69,11,4.65
Praia da Vitória,PT,38.7333,-27.0667,61.75,82,75,11.61
Abu Samrah,SY,35.3029,37.1841,71.92,35,98,8.75
Laguna,US,38.421,-121.4238,76.33,37,0,4.61
Giohar,SO,2.7809,45.5005,75.69,86,99,8.7
Buraidah,SA,26.326,43.975,75.65,15,1,9.15
Olafsvik,IS,64.8945,-23.7142,41.94,81,100,20.49
Cardonal,MX,20.6,-99.1333,69.8,67,91,12.12
Ginir,ET,7.1333,40.7,56.73,90,11,2.98
Tezu,IN,27.9167,96.1667,68.83,99,100,2.37
West Point,US,33.6076,-88.6503,71.89,55,0,13.8
Dakar,SN,14.6937,-17.4441,82.53,83,40,6.91
Kirakira,SB,-10.4544,161.9205,81.81,80,2,3.85
Ardon,RU,43.17,44.29,38.39,72,20,1.61
Tianpeng,CN,30.9866,103.9393,57.67,89,100,2.24
Korla,CN,41.7597,86.1469,47.79,43,0,1.25
Westport,US,41.1415,-73.3579,72.95,88,45,5.01
Kungurtug,RU,50.5994,97.5228,18.86,45,0,1.92
Pangnirtung,CA,66.1451,-65.7125,24.8,68,100,11.5
Pundaguitan,PH,6.3711,126.1689,82.62,75,100,10.11
Ust'-Ordynskiy,RU,52.805,104.7508,25.81,55,6,3.76
Kiryat Gat,IL,31.61,34.7642,79.48,40,0,6.71
Baharly,TM,38.4362,57.4316,60.64,60,3,5.66
Lewiston,US,44.1003,-70.2148,66.06,96,100,0.0
Clyde River,CA,70.4692,-68.5914,7.03,61,0,5.75
Coolum Beach,AU,-26.5333,153.1,77.34,99,92,4.34
Slave Lake,CA,55.2834,-114.769,33.78,86,100,18.41
Iisaku Parish,EE,59.1014,27.3081,44.08,98,100,9.86
Deleni,RO,47.4667,26.8833,58.95,92,71,5.3
Jām Sāhib,PK,26.2958,68.6292,78.21,44,0,7.38
Kyaikkami,MM,16.08,97.5675,78.37,86,91,6.82
Jining,CN,35.405,116.5814,56.84,55,100,9.91
Puerto Asís,CO,0.5133,-76.5007,87.26,60,42,1.48
Lensk,RU,60.7253,114.9278,28.99,84,99,10.27
Basco,PH,20.4487,121.9702,78.3,66,99,24.05
Chegdomyn,RU,51.1167,133.0167,33.71,59,100,1.01
Borovoy,RU,55.4333,86.0833,27.68,80,0,4.47
Tavda,RU,58.0425,65.2726,27.03,87,13,3.69
Rūdsar,IR,37.1376,50.288,60.78,82,33,2.35
Qaqortoq,GL,60.7167,-46.0333,28.72,70,0,3.91
Namatanai,PG,-3.6667,152.4333,82.35,74,94,5.12
Schattdorf,CH,46.8655,8.6547,59.59,81,96,7.49
Casma,CL,-41.0082,-73.1244,62.2,38,99,5.91
Constitución,CL,-35.3333,-72.4167,58.14,83,88,7.16
Tambura,SS,5.6,27.4667,67.48,94,100,2.59
Pimentel,PE,-6.8367,-79.9342,68.29,64,0,19.57
Latung,PH,5.5,120.8833,82.87,79,89,13.09
Kamen'-na-Obi,RU,53.7884,81.3423,29.79,56,1,6.51
Beitbridge,ZW,-22.2167,30.0,84.13,36,3,6.26
Isla Mujeres,MX,21.2311,-86.731,86.16,66,59,10.69
At-Bashi,KG,41.1702,75.8106,39.97,69,100,0.89
Barth,DE,54.3635,12.7249,52.05,91,2,13.62
Abu Kamal,SY,34.4506,40.9171,73.4,21,100,1.54
Aldan,RU,58.6031,125.3894,20.12,92,100,9.37
Semīrom,IR,31.4167,51.5667,47.43,39,10,1.07
Touros,BR,-5.1989,-35.4608,78.33,76,62,14.14
Laas,IT,46.6166,10.7002,52.68,91,79,2.08
Bubaque,GW,11.2833,-15.8333,85.21,73,16,9.15
Port Hedland,AU,-20.3167,118.5667,66.25,72,0,5.75
Dawlatabad,AF,36.4141,64.9053,62.51,60,100,7.36
Bentiu,SS,9.2333,29.8333,74.82,48,10,2.98
Belaya Gora,RU,68.5333,146.4167,11.19,94,100,4.38
Aksarka,RU,66.5606,67.7975,21.76,93,99,5.19
Nishihara,JP,26.1842,127.7558,70.88,64,75,12.66
Los Llanos de Aridane,ES,28.6585,-17.9182,65.95,75,0,5.75
Skjervøy,NO,70.0311,20.9714,28.4,59,100,5.19
Vieques,PR,18.425,-65.8329,86.02,74,75,11.5
Poltavka,RU,54.3663,71.7632,32.38,81,100,6.35
Pemangkat,ID,1.1667,108.9667,76.87,90,100,6.11
Srbobran,RS,45.5539,19.8028,57.81,76,44,3.85
Dakoro,NE,14.5106,6.765,84.92,20,88,8.68
Alofi,NU,-19.0595,-169.9187,75.09,60,75,11.5
Te Anau,NZ,-45.4167,167.7167,52.66,80,100,5.39
Nueve de Julio,AR,-35.4444,-60.8831,78.53,45,99,12.39
Gijang,KR,35.2442,129.2139,46.13,59,67,7.74
Gorontalo,ID,0.5412,123.0595,76.01,91,99,2.08
Naryan-Mar,RU,67.6713,53.087,23.23,86,63,8.41
